Playback2.acq
Graph Created on: 2024-02-26 21:48:18.248
Recording on: 2024-02-26 21:49:05.654
2.48756 msec/sample
5 channels
Count
number
ECG
µV
PPG
µV
EDA
µS
Temperature
C
sec,CH1,CH2,CH3,CH4,CH5,
,8022 samples,8022 samples,8022 samples,8022 samples,8022 samples,
10.5821,79,4167,1629.61,1.53189,29.5251,
10.5846,79,4167,1626.31,1.53189,29.5251,
10.5871,79,4167,1628.85,1.53189,29.5251,
10.5896,79,4167,1632.16,1.53189,29.5251,
10.592,79,4167,1629.11,1.53189,29.5251,
10.5945,79,4167,1626.82,1.53189,29.5251,
10.597,79,4167,1630.63,1.53189,29.5251,
10.5995,79,4167,1628.6,1.53189,29.5251,
10.602,79,4167,1623.76,1.53189,29.5251,
10.6045,79,4167,1623.26,1.53189,29.5251,
10.607,79,4167,1624.02,1.53189,29.5251,
10.6095,79,4167,1621.98,1.53189,29.5251,
10.6119,79,4167,1622.24,1.53189,29.5251,
10.6144,79,4167,1624.53,1.53189,29.5251,
10.6169,79,4167,1623,1.53189,29.5251,
10.6194,79,4167,1620.71,1.53189,29.5251,
10.6219,79,4167,1623.76,1.53189,29.5251,
10.6244,80,4167,1618.93,1.53152,29.5251,
10.6269,80,4167,1620.2,1.53152,29.5251,
10.6294,80,4167,1619.44,1.53152,29.5251,
10.6318,80,4167,1621.22,1.53152,29.5251,
10.6343,80,4167,1626.56,1.53152,29.5251,
10.6368,80,4167,1624.02,1.53152,29.5251,
10.6393,80,4167,1619.44,1.53152,29.5251,
10.6418,80,4167,1614.1,1.53152,29.5251,
10.6443,80,4167,1617.15,1.53152,29.5251,
10.6468,80,4167,1615.37,1.53152,29.5251,
10.6493,80,4167,1616.9,1.53152,29.5251,
10.6517,80,4167,1614.35,1.53152,29.5251,
10.6542,80,4167,1619.69,1.53152,29.5251,
10.6567,80,4167,1622.75,1.53152,29.5251,
10.6592,80,4167,1623,1.53152,29.5251,
10.6617,80,4167,1624.53,1.53152,29.5251,
10.6642,80,4167,1619.44,1.53152,29.5251,
10.6667,80,4167,1622.24,1.53152,29.5251,
10.6692,80,4167,1620.97,1.53152,29.5251,
10.6716,80,4167,1616.13,1.53152,29.5251,
10.6741,80,4167,1612.06,1.53152,29.5146,
10.6766,80,4167,1621.98,1.53152,29.5146,
10.6791,80,4167,1619.44,1.53152,29.5146,
